column1,Benefit_per_order,Order_City,Order_Country,Order_Customer_Id,order_date_DateOrders,Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit_Ratio,Order_Item_Quantity,Order_Item_Total,Order_Profit_Per_Order,Order_Region,Order_State,Order_Status,Order_Zipcode,Sales,Type,,,,,,,,,,,,,,,,,,,,,,,
43,119.76000213623047,Medan,Indonesia,19450,44:00.0,75897,1360,42.61000061035156,0.12999999523162842,179212,327.75,0.41999998688697815,1,285.1400146,119.7600021,Southeast Asia,Sumatra Septentrional,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
44,31.479999542236328,Canberra,Australia,19449,23:00.0,75896,1360,49.15999984741211,0.15000000596046448,179211,327.75,0.10999999940395355,1,278.5899963,31.47999954,Oceania,Territorio de la Capital Australiana,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
45,86.16999816894531,Bangalore,India,19448,02:00.0,75895,1360,52.439998626708984,0.1599999964237213,179210,327.75,0.3100000023841858,1,275.3099976,86.16999817,South Asia,Karnataka,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
46,130.5800018310547,Bangalore,India,19447,41:00.0,75894,1360,55.720001220703125,0.17000000178813934,179209,327.75,0.47999998927116394,1,272.0299988,130.5800018,South Asia,Karnataka,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
47,0,Yiwu,China,19446,20:00.0,75893,1360,59,0.18000000715255737,179208,327.75,0,1,268.7600098,0,Eastern Asia,Zhejiang,PROCESSING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
48,-30.75,Mirzapur,India,9083,57:00.0,28744,365,4.800000190734863,0.039999999,71956,59.99000168,-0.270000011,2,115.1800003,-30.75,South Asia,Uttar Pradesh,PENDING_PAYMENT,NULL,119.9800033569336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
49,-122.7300034,Bursa,Turquía,4741,39:00.0,45461,627,0.800000012,0.01,113598,39.99000168,-1.549999952,2,79.18000031,-122.7300034,West Asia,Bursa,PENDING_PAYMENT,NULL,79.98000336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
50,33.599998474121094,Murray Bridge,Australia,639,37:00.0,31115,502,4,0.039999999,77757,50,0.3499999940395355,2,96,33.59999847,Oceania,Australia del Sur,PENDING_PAYMENT,NULL,100,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
51,24.690000534057617,Kartal,Turquía,9702,31:00.0,45766,627,4,0.050000001,114401,39.99000168,0.33000001311302185,2,75.98000336,24.69000053,West Asia,Estambul,PENDING_PAYMENT,NULL,79.98000336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
52,9.100000381469727,Ulan Bator,Mongolia,9114,18:00.0,47752,502,9,0.090000004,119405,50,0.10000000149011612,2,91,9.100000381,Eastern Asia,Ulán Bator,PENDING_PAYMENT,NULL,100,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
53,-21.75,Estambul,Turquía,1362,47:00.0,50054,502,13,0.12999999523162842,125135,50,-0.25,2,87,-21.75,West Asia,Estambul,PENDING_PAYMENT,NULL,100,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
54,6.150000095367432,Raipur,India,8011,24:00.0,20365,502,18,0.18000000715255737,50842,50,0.079999998,2,82,6.150000095,South Asia,Rajastán,PENDING_PAYMENT,NULL,100,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
55,22.40999984741211,Pasco,Estados Unidos,3296,12:00.0,36146,278,15.300000190734863,0.17000000178813934,90273,44.99000168,0.30000001192092896,2,74.68000031,22.40999985,West of USA ,Washington,PENDING_PAYMENT,99301,89.98000336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
56,25.239999771118164,Los Angeles,Estados Unidos,3182,45:00.0,41234,249,19.790000915527344,0.18000000715255737,102921,54.97000122,0.2800000011920929,2,90.15000153,25.23999977,West of USA ,California,PENDING_PAYMENT,90049,109.94000244140625,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
57,30.56999969482422,San Francisco,Estados Unidos,7864,12:00.0,32090,365,2.4000000953674316,0.019999999552965164,80250,59.99000168,0.25999999046325684,2,117.5800018,30.5699997,West of USA ,California,PENDING_PAYMENT,94110,119.9800033569336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
58,46.06999969482422,Overland Park,Estados Unidos,11169,10:00.0,34773,365,24,0.20000000298023224,86866,59.99000168,0.47999998927116394,2,95.98000336,46.0699997,US Center ,Kansas,PENDING_PAYMENT,66212,119.9800033569336,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
59,-184.7799988,Ugep,Nigeria,5197,55:00.0,44046,191,36,0.11999999731779099,110025,99.98999786,-0.699999988,3,263.9700012,-184.7799988,West Africa,Cross River,PENDING_PAYMENT,NULL,299.9700012207031,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
60,38.75,Kinshasa,República Democrática del Congo,1535,32:00.0,46414,627,6,0.050000001,116033,39.99000168,0.3400000035762787,3,113.9700012,38.75,Central Africa,Kinshasa,PENDING_PAYMENT,NULL,119.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
61,-3.650000095,Dakar,Senegal,6122,21:00.0,46599,917,1.9800000190734863,0.029999999329447746,116462,21.98999977,-0.059999999,3,63.99000168,-3.650000095,West Africa,Dakar,PENDING_PAYMENT,NULL,65.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
62,38.22999954223633,Casablanca,Marruecos,9451,14:00.0,48434,828,16.309999465942383,0.17000000178813934,121134,31.98999977,0.47999998927116394,3,79.66000366,38.22999954,North Africa,Gran Casablanca,PENDING_PAYMENT,NULL,95.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
63,129.35000610351562,Dortmund,Alemania,542,31:00.0,12827,191,6,0.019999999552965164,32072,99.98999786,0.4399999976158142,3,293.9700012,129.3500061,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,NULL,299.9700012207031,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
64,132.2899932861328,Drancy,Francia,11329,16:00.0,63936,191,30,0.10000000149011612,159828,99.98999786,0.49000000953674316,3,269.9700012,132.2899933,Western Europe,Isla de Francia,PENDING_PAYMENT,NULL,299.9700012207031,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
65,76.04000091552734,Nantes,Francia,3570,33:00.0,65030,191,74.98999786376953,0.25,162548,99.98999786,0.3400000035762787,3,224.9799957,76.04000092,Western Europe,Países del Loira,PENDING_PAYMENT,NULL,299.9700012207031,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
66,81.12999725341797,Groningen,Países Bajos,650,41:00.0,18108,365,3.5999999046325684,0.019999999552965164,45253,59.99000168,0.46000000834465027,3,176.3699951,81.12999725,Western Europe,Groningen,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
67,43.52000045776367,Gateshead,Reino Unido,9353,03:00.0,62571,365,12.600000381469727,0.07,156394,59.99000168,0.25999999046325684,3,167.3699951,43.52000046,Northern Europe,Inglaterra,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
68,68.77999877929688,Eastbourne,Reino Unido,54,15:00.0,17162,365,16.200000762939453,0.090000004,42919,59.99000168,0.41999998688697815,3,163.7700043,68.77999878,Northern Europe,Inglaterra,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
69,40.49000168,Hayange,Francia,12151,03:00.0,65922,365,18,0.10000000149011612,164735,59.99000168,0.25,3,161.9700012,40.49000168,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
70,20.93000030517578,Drancy,Francia,11329,16:00.0,63936,502,10.5,0.07,159829,50,0.15000000596046448,3,139.5,20.93000031,Western Europe,Isla de Francia,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
71,12.199999809265137,Portsmouth,Reino Unido,10018,31:00.0,64813,627,12,0.10000000149011612,162007,39.99000168,0.10999999940395355,3,107.9700012,12.19999981,Northern Europe,Inglaterra,PENDING_PAYMENT,NULL,119.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
72,12.710000038146973,Gelsenkirchen,Alemania,3182,14:00.0,67892,502,37.5,0.25,169747,50,0.10999999940395355,3,112.5,12.71000004,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
73,7.760000228881836,Nice,Francia,4936,42:00.0,12525,917,10.56000042,0.1599999964237213,31344,21.98999977,0.14000000059604645,3,55.40999985,7.760000229,Western Europe,Provenza-Alpes-Costa Azul,PENDING_PAYMENT,NULL,65.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
74,101.38999938964844,Petapa,Guatemala,8707,55:00.0,5895,191,0,0,14664,99.98999786,0.3400000035762787,3,299.9700012,101.3899994,Central America,Guatemala,PENDING_PAYMENT,NULL,299.9700012207031,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
75,-285.0700073,Mejicanos,El Salvador,1025,43:00.0,56359,365,1.7999999523162842,0.01,140970,59.99000168,-1.600000024,3,178.1699982,-285.0700073,Central America,San Salvador,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
76,42.74000168,David,Panamá,8831,23:00.0,58613,365,9,0.050000001,146701,59.99000168,0.25,3,170.9700012,42.74000168,Central America,Chiriquí,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
77,49.31999969482422,Santo Domingo,República Dominicana,10679,44:00.0,7824,365,9.899999618530273,0.059999999,19564,59.99000168,0.28999999165534973,3,170.0700073,49.3199997,Caribbean,Santo Domingo,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
78,80.33999633789062,Cabimas,Venezuela,5007,14:00.0,7814,365,12.600000381469727,0.07,19544,59.99000168,0.47999998927116394,3,167.3699951,80.33999634,South America,Zulia,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
80,-117.3300018,Santo Domingo,República Dominicana,9854,03:00.0,60807,365,27,0.15000000596046448,152161,59.99000168,-0.769999981,3,152.9700012,-117.3300018,Caribbean,Santo Domingo,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
81,47.880001068115234,Dos Quebradas,Colombia,376,36:00.0,53413,365,27,0.15000000596046448,133456,59.99000168,0.3100000023841858,3,152.9700012,47.88000107,South America,Risaralda,PENDING_PAYMENT,NULL,179.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
82,72,Ilopango,El Salvador,5417,10:00.0,7888,502,0,0,19707,50,0.47999998927116394,3,150,72,Central America,San Salvador,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
83,29.940000534057617,Tegucigalpa,Honduras,10759,02:00.0,6783,627,4.800000190734863,0.039999999,16956,39.99000168,0.25999999046325684,3,115.1699982,29.94000053,Central America,Francisco Morazán,PENDING_PAYMENT,NULL,119.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
84,23.469999313354492,Juazeiro,Brasil,8541,49:00.0,56973,502,6,0.039999999,142502,50,0.1599999964237213,3,144,23.46999931,South America,Bahía,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
85,68.40000153,Santo Domingo,República Dominicana,10679,44:00.0,7824,502,7.5,0.050000001,19563,50,0.47999998927116394,3,142.5,68.40000153,Caribbean,Santo Domingo,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
86,43.65999984741211,Mexico City,México,3752,54:00.0,55155,502,10.5,0.07,137932,50,0.3100000023841858,3,139.5,43.65999985,Central America,Distrito Federal,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
87,13.199999809265137,Tlaquepaque,México,4673,33:00.0,5991,502,18,0.11999999731779099,14921,50,0.10000000149011612,3,132,13.19999981,Central America,Jalisco,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
88,46.20000076293945,Puebla,México,5367,28:00.0,2263,502,18,0.11999999731779099,5671,50,0.3499999940395355,3,132,46.20000076,Central America,Puebla,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
89,10.43999958,Puebla,México,5367,28:00.0,2263,502,19.5,0.12999999523162842,5669,50,0.079999998,3,130.5,10.43999958,Central America,Puebla,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
90,15.56000042,Mexico City,México,10485,05:00.0,53403,502,25.5,0.17000000178813934,133427,50,0.12999999523162842,3,124.5,15.56000042,Central America,Distrito Federal,PENDING_PAYMENT,NULL,150,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
91,32.86000061035156,São Paulo,Brasil,9272,37:00.0,51298,627,20.389999389648438,0.17000000178813934,128201,39.99000168,0.33000001311302185,3,99.58000183,32.86000061,South America,São Paulo,PENDING_PAYMENT,NULL,119.97000122070312,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
92,9.600000381469727,Montevideo,Uruguay,647,59:00.0,4919,502,10,0.039999999,12307,50,0.039999999,5,240,9.600000381,South America,Montevideo,PENDING,NULL,250,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
93,55.09000015258789,Buenos Aires,Argentina,6398,47:00.0,52640,627,10,0.050000001,131580,39.99000168,0.28999999165534973,5,189.9499969,55.09000015,South America,Buenos Aires,PENDING,NULL,199.9499969482422,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
94,68.58999633789062,São Paulo,Brasil,4209,08:00.0,6358,627,11,0.059999999,15921,39.99000168,0.36000001430511475,5,188.9499969,68.58999634,South America,São Paulo,PENDING,NULL,199.9499969482422,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
95,51.97999954223633,Barueri,Brasil,8917,25:00.0,57106,502,13.75,0.059999999,142841,50,0.2199999988079071,5,236.25,51.97999954,South America,São Paulo,PENDING,NULL,250,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
96,-23.62999916,Arapongas,Brasil,7784,33:00.0,6245,502,13.75,0.059999999,15634,50,-0.100000001,5,236.25,-23.62999916,South America,Paraná,PENDING,NULL,250,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
97,66.88999938964844,Camagüey,Cuba,1425,43:00.0,52166,642,13.5,0.090000004,130341,30,0.49000000953674316,5,136.5,66.88999939,Caribbean,Camagüey,PENDING,NULL,150,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
98,11.460000038146973,Las Tunas,Cuba,2737,12:00.0,56172,627,18,0.090000004,140494,39.99000168,0.059999999,5,181.9499969,11.46000004,Caribbean,Las Tunas,PENDING,NULL,199.9499969482422,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
99,22.5,Santo Domingo,República Dominicana,6428,02:00.0,55829,502,25,0.10000000149011612,139611,50,0.10000000149011612,5,225,22.5,Caribbean,Santo Domingo,PENDING,NULL,250,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
