column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
43,3,4,Advance shipping,0,2018-01-15 21:44:00.0000000,Standard Class,Pacific Asia,75897
44,2,4,Advance shipping,0,2018-01-14 21:23:00.0000000,Standard Class,Pacific Asia,75896
45,6,4,Late delivery,1,2018-01-18 21:02:00.0000000,Standard Class,Pacific Asia,75895
46,5,2,Late delivery,1,2018-01-17 20:41:00.0000000,Second Class,Pacific Asia,75894
47,4,4,Shipping on time,0,2018-01-16 20:20:00.0000000,Standard Class,Pacific Asia,75893
48,5,2,Late delivery,1,2016-02-29 13:57:00.0000000,Second Class,Pacific Asia,28744
49,2,2,Shipping on time,0,2016-10-27 14:39:00.0000000,Second Class,Pacific Asia,45461
50,6,2,Late delivery,1,2016-04-05 04:37:00.0000000,Second Class,Pacific Asia,31115
51,2,2,Shipping on time,0,2016-11-01 01:31:00.0000000,Second Class,Pacific Asia,45766
52,3,2,Late delivery,1,2016-12-01 01:18:00.0000000,Second Class,Pacific Asia,47752
53,5,2,Late delivery,1,2017-01-05 15:47:00.0000000,Second Class,Pacific Asia,50054
54,6,2,Late delivery,1,2015-10-31 06:24:00.0000000,Second Class,Pacific Asia,20365
55,2,2,Shipping on time,0,2016-06-13 15:12:00.0000000,Second Class,USCA,36146
56,5,2,Late delivery,1,2016-08-29 21:45:00.0000000,Second Class,USCA,41234
57,6,2,Late delivery,1,2016-04-19 10:12:00.0000000,Second Class,USCA,32090
58,4,2,Late delivery,1,2016-05-26 14:10:00.0000000,Second Class,USCA,34773
59,2,2,Shipping on time,0,2016-10-06 22:55:00.0000000,Second Class,Africa,44046
60,5,2,Late delivery,1,2016-11-13 12:32:00.0000000,Second Class,Africa,46414
61,5,2,Late delivery,1,2016-11-16 05:21:00.0000000,Second Class,Africa,46599
62,5,2,Late delivery,1,2016-12-13 00:14:00.0000000,Second Class,Africa,48434
63,3,2,Late delivery,1,2015-07-10 05:31:00.0000000,Second Class,Europe,12827
64,2,2,Shipping on time,0,2017-07-24 07:16:00.0000000,Second Class,Europe,63936
65,6,2,Late delivery,1,2017-08-13 06:33:00.0000000,Second Class,Europe,65030
66,4,2,Late delivery,1,2015-09-26 07:41:00.0000000,Second Class,Europe,18108
67,2,2,Shipping on time,0,2017-07-04 09:03:00.0000000,Second Class,Europe,62571
68,3,2,Late delivery,1,2015-09-11 12:15:00.0000000,Second Class,Europe,17162
69,3,2,Late delivery,1,2017-08-23 07:03:00.0000000,Second Class,Europe,65922
70,4,2,Late delivery,1,2017-08-08 02:31:00.0000000,Second Class,Europe,64813
71,3,2,Late delivery,1,2017-09-21 01:14:00.0000000,Second Class,Europe,67892
72,6,2,Late delivery,1,2015-07-08 19:42:00.0000000,Second Class,Europe,12525
73,6,2,Late delivery,1,2015-04-03 00:55:00.0000000,Second Class,LATAM,5895
74,5,2,Late delivery,1,2017-04-07 16:43:00.0000000,Second Class,LATAM,56359
75,4,2,Late delivery,1,2017-05-09 14:23:00.0000000,Second Class,LATAM,58613
76,5,2,Late delivery,1,2015-04-30 04:44:00.0000000,Second Class,LATAM,7824
77,5,2,Late delivery,1,2015-04-30 01:14:00.0000000,Second Class,LATAM,7814
78,3,2,Late delivery,1,2017-06-09 15:03:00.0000000,Second Class,LATAM,60807
79,4,2,Late delivery,1,2017-02-22 16:36:00.0000000,Second Class,LATAM,53413
80,4,2,Late delivery,1,2015-04-30 03:10:00.0000000,Second Class,LATAM,7888
81,4,2,Late delivery,1,2015-04-14 00:02:00.0000000,Second Class,LATAM,6783
82,4,2,Late delivery,1,2017-04-15 15:49:00.0000000,Second Class,LATAM,56973
83,6,2,Late delivery,1,2017-03-22 02:54:00.0000000,Second Class,LATAM,55155
84,2,2,Shipping on time,0,2015-03-31 10:33:00.0000000,Second Class,LATAM,5991
85,4,2,Late delivery,1,2015-02-07 00:28:00.0000000,Second Class,LATAM,2263
86,4,2,Late delivery,1,2017-02-22 13:05:00.0000000,Second Class,LATAM,53403
87,4,2,Late delivery,1,2017-01-22 19:37:00.0000000,Second Class,LATAM,51298
88,5,4,Late delivery,1,2015-03-18 18:59:00.0000000,Standard Class,LATAM,4919
89,6,4,Late delivery,1,2017-02-13 09:47:00.0000000,Standard Class,LATAM,52640
90,4,4,Shipping on time,0,2015-04-07 19:08:00.0000000,Standard Class,LATAM,6358
91,2,4,Advance shipping,0,2017-04-15 14:25:00.0000000,Standard Class,LATAM,57106
92,6,4,Late delivery,1,2015-04-08 03:33:00.0000000,Standard Class,LATAM,6245
93,2,4,Advance shipping,0,2017-02-02 11:43:00.0000000,Standard Class,LATAM,52166
94,3,4,Advance shipping,0,2017-04-02 23:12:00.0000000,Standard Class,LATAM,56172
95,5,4,Late delivery,1,2017-03-30 23:02:00.0000000,Standard Class,LATAM,55829
96,4,4,Shipping on time,0,2017-02-09 01:01:00.0000000,Standard Class,LATAM,52478
97,3,4,Advance shipping,0,2017-04-18 14:04:00.0000000,Standard Class,LATAM,57242
98,3,4,Advance shipping,0,2015-02-18 18:40:00.0000000,Standard Class,LATAM,3137
99,3,4,Advance shipping,0,2017-05-30 16:48:00.0000000,Standard Class,LATAM,60127
100,4,4,Shipping on time,0,2015-03-01 20:46:00.0000000,Standard Class,LATAM,3828
101,2,4,Advance shipping,0,2017-06-02 11:33:00.0000000,Standard Class,LATAM,60386
102,4,4,Shipping on time,0,2015-01-19 04:32:00.0000000,Standard Class,LATAM,973
103,5,4,Late delivery,1,2017-05-01 15:16:00.0000000,Standard Class,LATAM,57999
104,6,4,Late delivery,1,2017-03-13 19:12:00.0000000,Standard Class,LATAM,54585
105,4,4,Shipping on time,0,2017-04-24 18:47:00.0000000,Standard Class,LATAM,57598
106,5,4,Late delivery,1,2017-03-08 06:14:00.0000000,Standard Class,LATAM,54274
107,4,4,Shipping on time,0,2017-06-08 16:06:00.0000000,Standard Class,LATAM,60673
108,3,4,Advance shipping,0,2017-05-19 21:33:00.0000000,Standard Class,LATAM,59387
109,3,4,Advance shipping,0,2015-05-30 01:32:00.0000000,Standard Class,LATAM,10007
110,5,4,Late delivery,1,2017-04-02 05:20:00.0000000,Standard Class,LATAM,55984
111,6,4,Late delivery,1,2017-05-08 03:00:00.0000000,Standard Class,LATAM,58375
112,4,4,Shipping on time,0,2017-04-07 23:53:00.0000000,Standard Class,LATAM,56448
113,2,4,Advance shipping,0,2015-05-02 23:49:00.0000000,Standard Class,LATAM,8221
114,5,4,Late delivery,1,2017-05-02 03:32:00.0000000,Standard Class,LATAM,58034
115,4,4,Shipping on time,0,2015-02-06 03:27:00.0000000,Standard Class,LATAM,2203
116,5,4,Late delivery,1,2017-02-18 16:05:00.0000000,Standard Class,LATAM,53069
117,2,4,Advance shipping,0,2017-05-29 23:28:00.0000000,Standard Class,LATAM,60146
118,5,4,Late delivery,1,2017-03-24 19:53:00.0000000,Standard Class,LATAM,55409
119,4,4,Shipping on time,0,2015-05-11 15:56:00.0000000,Standard Class,LATAM,8678
120,6,4,Late delivery,1,2015-05-03 11:23:00.0000000,Standard Class,LATAM,7980
121,6,4,Late delivery,1,2017-04-20 18:06:00.0000000,Standard Class,LATAM,57185
122,2,4,Advance shipping,0,2015-05-09 01:13:00.0000000,Standard Class,LATAM,8636
123,3,4,Advance shipping,0,2017-06-15 05:55:00.0000000,Standard Class,LATAM,61192
124,2,4,Advance shipping,0,2017-03-28 15:30:00.0000000,Standard Class,LATAM,55876
125,2,4,Advance shipping,0,2017-02-19 11:52:00.0000000,Standard Class,LATAM,53331
126,6,4,Late delivery,1,2017-01-31 01:13:00.0000000,Standard Class,LATAM,51725
127,3,4,Advance shipping,0,2017-02-09 06:27:00.0000000,Standard Class,LATAM,52562
128,5,4,Late delivery,1,2017-05-27 06:08:00.0000000,Standard Class,LATAM,59754
129,5,4,Late delivery,1,2017-02-26 01:00:00.0000000,Standard Class,LATAM,53574
130,5,4,Late delivery,1,2015-01-11 19:26:00.0000000,Standard Class,LATAM,399
131,6,2,Late delivery,1,2017-01-21 04:44:00.0000000,Second Class,Africa,51050
132,6,2,Late delivery,1,2016-11-03 19:23:00.0000000,Second Class,Africa,45680
133,3,2,Late delivery,1,2016-09-22 13:39:00.0000000,Second Class,Africa,42992
134,5,2,Late delivery,1,2016-08-30 22:16:00.0000000,Second Class,Africa,41304
135,4,2,Late delivery,1,2016-10-11 23:26:00.0000000,Second Class,Africa,44253
136,4,2,Late delivery,1,2016-11-07 21:49:00.0000000,Second Class,Africa,46098
137,3,2,Late delivery,1,2017-11-06 13:05:00.0000000,Second Class,Europe,71077
138,4,2,Late delivery,1,2017-10-18 11:42:00.0000000,Second Class,Europe,69703
139,3,2,Late delivery,1,2017-11-07 01:21:00.0000000,Second Class,Europe,71112
140,6,2,Late delivery,1,2017-10-22 01:12:00.0000000,Second Class,Europe,69810
141,3,2,Late delivery,1,2017-11-06 18:20:00.0000000,Second Class,Europe,71092
142,6,2,Late delivery,1,2017-10-19 03:08:00.0000000,Second Class,Europe,69610
143,6,2,Late delivery,1,2017-11-08 10:06:00.0000000,Second Class,Europe,71000
144,5,2,Late delivery,1,2017-11-03 12:55:00.0000000,Second Class,Europe,70734
145,2,2,Shipping on time,0,2017-10-15 08:44:00.0000000,Second Class,Europe,69626
146,3,2,Late delivery,1,2017-10-14 06:17:00.0000000,Second Class,Europe,69482
147,5,2,Late delivery,1,2017-11-04 01:10:00.0000000,Second Class,Europe,70769
148,4,2,Late delivery,1,2017-10-17 14:41:00.0000000,Second Class,Europe,69643
149,2,2,Shipping on time,0,2017-11-05 03:58:00.0000000,Second Class,Europe,71051
150,4,2,Late delivery,1,2017-10-14 04:21:00.0000000,Second Class,Europe,69408
151,4,2,Late delivery,1,2017-11-08 05:12:00.0000000,Second Class,Europe,71123
152,5,2,Late delivery,1,2017-10-31 14:51:00.0000000,Second Class,Europe,70534
153,2,2,Shipping on time,0,2017-10-15 13:59:00.0000000,Second Class,Europe,69641
154,6,2,Late delivery,1,2017-11-07 20:05:00.0000000,Second Class,Europe,70960
155,4,2,Late delivery,1,2017-10-21 11:32:00.0000000,Second Class,Europe,69908
156,3,2,Late delivery,1,2017-11-04 19:02:00.0000000,Second Class,Europe,70957
157,3,2,Late delivery,1,2017-10-16 12:35:00.0000000,Second Class,Europe,69637
158,6,2,Late delivery,1,2017-11-07 18:20:00.0000000,Second Class,Europe,70955
159,5,2,Late delivery,1,2017-11-06 05:44:00.0000000,Second Class,Europe,70919
160,5,2,Late delivery,1,2017-11-07 13:15:00.0000000,Second Class,Europe,71009
161,4,2,Late delivery,1,2017-10-17 18:11:00.0000000,Second Class,Europe,69653
162,3,2,Late delivery,1,2017-10-14 22:03:00.0000000,Second Class,Europe,69527
163,6,2,Late delivery,1,2017-11-09 14:08:00.0000000,Second Class,Europe,71080
164,5,2,Late delivery,1,2017-10-31 18:21:00.0000000,Second Class,Europe,70544
165,2,2,Shipping on time,0,2017-10-13 02:26:00.0000000,Second Class,Europe,69471
166,5,2,Late delivery,1,2017-10-07 11:01:00.0000000,Second Class,Europe,68879
167,5,2,Late delivery,1,2017-09-13 03:42:00.0000000,Second Class,Europe,67214
168,6,2,Late delivery,1,2015-09-23 23:17:00.0000000,Second Class,Europe,17810
169,4,2,Late delivery,1,2015-10-06 07:40:00.0000000,Second Class,Europe,18793
170,5,2,Late delivery,1,2017-08-13 10:13:00.0000000,Second Class,Europe,65109
171,4,2,Late delivery,1,2015-08-21 18:35:00.0000000,Second Class,Europe,15673
172,4,2,Late delivery,1,2015-09-27 09:57:00.0000000,Second Class,Europe,18183
173,5,2,Late delivery,1,2015-10-28 08:31:00.0000000,Second Class,Europe,20234
174,5,2,Late delivery,1,2015-07-16 18:49:00.0000000,Second Class,Europe,13139
175,5,4,Shipping canceled,0,2016-05-13 17:42:00.0000000,Standard Class,USCA,33824
176,5,4,Shipping canceled,0,2016-04-07 19:51:00.0000000,Standard Class,USCA,31364
177,6,4,Shipping canceled,0,2016-08-20 02:51:00.0000000,Standard Class,USCA,40495
178,2,4,Shipping canceled,0,2016-05-20 16:38:00.0000000,Standard Class,USCA,34506
179,3,4,Shipping canceled,0,2016-05-08 13:40:00.0000000,Standard Class,USCA,33607
180,3,4,Shipping canceled,0,2016-04-24 02:50:00.0000000,Standard Class,USCA,32617
181,2,4,Shipping canceled,0,2016-07-03 08:10:00.0000000,Standard Class,USCA,37496
182,6,4,Shipping canceled,0,2016-12-23 08:48:00.0000000,Standard Class,USCA,49075
183,4,4,Shipping canceled,0,2016-09-03 14:02:00.0000000,Standard Class,USCA,41623
184,2,4,Shipping canceled,0,2016-07-29 06:01:00.0000000,Standard Class,USCA,39271
185,4,4,Shipping canceled,0,2016-07-21 10:14:00.0000000,Standard Class,USCA,38598
186,6,4,Shipping canceled,0,2016-07-12 10:26:00.0000000,Standard Class,USCA,37845
187,2,4,Shipping canceled,0,2016-09-11 22:05:00.0000000,Standard Class,Africa,42331
188,6,4,Shipping canceled,0,2016-09-01 12:38:00.0000000,Standard Class,Africa,41345
189,4,4,Shipping canceled,0,2017-01-20 22:04:00.0000000,Standard Class,Africa,51168
190,5,4,Shipping canceled,0,2016-10-03 10:19:00.0000000,Standard Class,Africa,43599
191,2,4,Shipping canceled,0,2016-09-05 15:26:00.0000000,Standard Class,Africa,41901
192,2,4,Advance shipping,0,2016-09-18 01:13:00.0000000,Standard Class,Africa,42751
193,4,4,Shipping on time,0,2016-10-24 03:59:00.0000000,Standard Class,Africa,45088
194,5,4,Late delivery,1,2017-01-12 00:11:00.0000000,Standard Class,Africa,50489
195,5,4,Late delivery,1,2016-10-15 06:06:00.0000000,Standard Class,Africa,44409
196,2,4,Advance shipping,0,2016-09-08 13:30:00.0000000,Standard Class,Africa,42101
197,5,4,Late delivery,1,2017-01-11 01:25:00.0000000,Standard Class,Africa,50424
198,6,4,Late delivery,1,2017-01-03 07:33:00.0000000,Standard Class,Africa,49825
199,5,4,Late delivery,1,2016-08-30 18:46:00.0000000,Standard Class,Africa,41294
200,4,4,Shipping on time,0,2016-09-09 10:10:00.0000000,Standard Class,Africa,42023
201,5,4,Late delivery,1,2016-12-03 09:00:00.0000000,Standard Class,Africa,47774
202,3,4,Advance shipping,0,2016-09-05 13:30:00.0000000,Standard Class,Africa,41827
203,4,4,Shipping on time,0,2016-11-23 21:27:00.0000000,Standard Class,Africa,47193
204,2,4,Advance shipping,0,2016-09-16 05:26:00.0000000,Standard Class,Africa,42626
205,5,4,Late delivery,1,2016-11-10 09:13:00.0000000,Standard Class,Africa,46199
206,4,4,Shipping on time,0,2016-12-12 12:08:00.0000000,Standard Class,Africa,48468
207,5,4,Late delivery,1,2017-01-19 14:22:00.0000000,Standard Class,Africa,51009
208,5,4,Late delivery,1,2016-11-10 19:43:00.0000000,Standard Class,Africa,46229
209,3,4,Advance shipping,0,2016-09-20 23:07:00.0000000,Standard Class,Africa,42882
210,3,4,Advance shipping,0,2016-11-17 13:14:00.0000000,Standard Class,Africa,46827
211,5,4,Late delivery,1,2016-12-16 15:49:00.0000000,Standard Class,Africa,48684
212,2,4,Advance shipping,0,2016-11-10 13:14:00.0000000,Standard Class,Africa,46416
213,4,4,Shipping on time,0,2016-11-26 02:00:00.0000000,Standard Class,Africa,47343
214,2,4,Advance shipping,0,2016-09-02 12:06:00.0000000,Standard Class,Pacific Asia,41686
215,2,4,Advance shipping,0,2016-09-05 13:41:00.0000000,Standard Class,Pacific Asia,41896
216,4,4,Shipping on time,0,2016-02-20 04:09:00.0000000,Standard Class,Pacific Asia,28168
217,3,4,Advance shipping,0,2016-01-03 19:27:00.0000000,Standard Class,Pacific Asia,24992
218,2,4,Advance shipping,0,2016-03-28 08:07:00.0000000,Standard Class,Pacific Asia,30851
219,5,4,Late delivery,1,2016-01-07 00:11:00.0000000,Standard Class,Pacific Asia,25074
220,6,4,Late delivery,1,2018-02-02 02:38:00.0000000,Standard Class,Pacific Asia,76870
221,4,4,Shipping on time,0,2016-01-07 07:22:00.0000000,Standard Class,Pacific Asia,25163
222,2,4,Advance shipping,0,2016-02-16 05:54:00.0000000,Standard Class,Pacific Asia,28036
223,5,4,Late delivery,1,2015-12-03 01:06:00.0000000,Standard Class,Pacific Asia,22679
224,6,4,Late delivery,1,2015-12-17 15:17:00.0000000,Standard Class,Pacific Asia,23610
225,4,4,Shipping on time,0,2016-09-21 04:12:00.0000000,Standard Class,Pacific Asia,42828
226,4,4,Shipping on time,0,2016-12-16 01:59:00.0000000,Standard Class,Pacific Asia,48713
227,4,4,Shipping on time,0,2016-11-01 15:11:00.0000000,Standard Class,Pacific Asia,45668
228,2,4,Advance shipping,0,2017-12-29 20:01:00.0000000,Standard Class,Pacific Asia,74796
229,4,4,Shipping on time,0,2016-02-16 12:34:00.0000000,Standard Class,Pacific Asia,27918
230,3,4,Advance shipping,0,2016-03-18 07:58:00.0000000,Standard Class,Pacific Asia,30097
231,2,4,Advance shipping,0,2016-03-30 00:25:00.0000000,Standard Class,Pacific Asia,30966
232,4,4,Shipping on time,0,2016-03-18 20:03:00.0000000,Standard Class,Pacific Asia,30063
233,5,4,Late delivery,1,2015-11-23 09:53:00.0000000,Standard Class,Pacific Asia,22019
234,6,4,Late delivery,1,2015-12-26 16:29:00.0000000,Standard Class,Pacific Asia,24230
235,4,4,Shipping on time,0,2016-09-14 05:47:00.0000000,Standard Class,Pacific Asia,42353
236,5,4,Late delivery,1,2016-09-12 01:04:00.0000000,Standard Class,Pacific Asia,42134
237,3,4,Advance shipping,0,2015-11-14 03:45:00.0000000,Standard Class,Pacific Asia,21522
238,3,4,Advance shipping,0,2015-12-16 22:17:00.0000000,Standard Class,Pacific Asia,23767
239,4,4,Shipping on time,0,2016-01-11 05:57:00.0000000,Standard Class,Pacific Asia,25433
240,4,4,Shipping on time,0,2017-12-18 15:39:00.0000000,Standard Class,Pacific Asia,73893
241,6,4,Late delivery,1,2016-03-21 03:45:00.0000000,Standard Class,Pacific Asia,30085
242,3,4,Advance shipping,0,2016-03-19 10:14:00.0000000,Standard Class,Pacific Asia,30172
243,4,4,Shipping on time,0,2016-02-10 02:25:00.0000000,Standard Class,Pacific Asia,27478
244,2,4,Advance shipping,0,2018-01-30 15:46:00.0000000,Standard Class,Pacific Asia,76976
245,4,4,Shipping on time,0,2015-12-22 05:59:00.0000000,Standard Class,Pacific Asia,24063
246,5,4,Late delivery,1,2017-01-22 12:26:00.0000000,Standard Class,Pacific Asia,51209
247,5,4,Late delivery,1,2017-12-18 20:44:00.0000000,Standard Class,Pacific Asia,73839
248,4,4,Shipping on time,0,2017-12-30 18:26:00.0000000,Standard Class,Pacific Asia,74723
249,2,4,Advance shipping,0,2016-01-29 12:14:00.0000000,Standard Class,Pacific Asia,26821
250,3,4,Advance shipping,0,2018-02-02 11:54:00.0000000,Standard Class,Pacific Asia,77102
251,4,4,Shipping on time,0,2016-09-03 08:47:00.0000000,Standard Class,Pacific Asia,41608
252,5,4,Late delivery,1,2016-11-22 04:59:00.0000000,Standard Class,Pacific Asia,47009
253,2,4,Advance shipping,0,2016-12-31 15:26:00.0000000,Standard Class,Pacific Asia,49916
254,2,4,Advance shipping,0,2016-03-12 04:59:00.0000000,Standard Class,Pacific Asia,29746
255,4,4,Shipping on time,0,2017-11-28 19:11:00.0000000,Standard Class,Pacific Asia,72533
256,4,4,Shipping on time,0,2016-12-14 13:11:00.0000000,Standard Class,Africa,48608
257,2,4,Advance shipping,0,2016-10-28 06:25:00.0000000,Standard Class,Africa,45506
258,3,4,Advance shipping,0,2016-10-22 06:36:00.0000000,Standard Class,Africa,45027
259,4,4,Shipping on time,0,2016-11-10 23:24:00.0000000,Standard Class,Africa,46308
260,6,4,Late delivery,1,2016-10-05 16:27:00.0000000,Standard Class,Africa,43685
261,4,4,Shipping on time,0,2016-09-07 12:38:00.0000000,Standard Class,Africa,41893
262,5,4,Late delivery,1,2016-11-12 10:15:00.0000000,Standard Class,Africa,46339
263,3,4,Advance shipping,0,2016-11-15 05:10:00.0000000,Standard Class,Africa,46667
264,3,4,Advance shipping,0,2016-11-29 12:30:00.0000000,Standard Class,Africa,47647
265,6,4,Late delivery,1,2016-12-15 22:07:00.0000000,Standard Class,Africa,48565
266,5,4,Late delivery,1,2016-10-07 15:55:00.0000000,Standard Class,Africa,43889
267,4,4,Shipping on time,0,2016-10-24 21:30:00.0000000,Standard Class,Africa,45138
268,6,4,Late delivery,1,2016-10-12 14:51:00.0000000,Standard Class,Africa,44160
269,5,4,Late delivery,1,2016-12-24 09:30:00.0000000,Standard Class,Africa,49214
270,6,4,Late delivery,1,2016-09-08 12:48:00.0000000,Standard Class,Africa,41825
271,5,4,Late delivery,1,2016-10-16 15:22:00.0000000,Standard Class,Africa,44504
272,2,4,Advance shipping,0,2016-10-13 12:34:00.0000000,Standard Class,Africa,44496
273,5,4,Late delivery,1,2016-11-01 00:59:00.0000000,Standard Class,Africa,45559
274,5,4,Late delivery,1,2016-10-10 08:44:00.0000000,Standard Class,Africa,44074
275,3,4,Advance shipping,0,2016-12-31 18:46:00.0000000,Standard Class,Africa,49857
276,2,4,Advance shipping,0,2016-09-03 23:08:00.0000000,Standard Class,Africa,41786
277,3,4,Advance shipping,0,2016-12-05 06:54:00.0000000,Standard Class,Africa,48042
278,2,4,Advance shipping,0,2016-10-10 16:15:00.0000000,Standard Class,Africa,44301
279,2,4,Advance shipping,0,2016-09-01 02:49:00.0000000,Standard Class,Africa,41591
280,2,4,Advance shipping,0,2016-10-20 14:29:00.0000000,Standard Class,Africa,44981
281,6,4,Late delivery,1,2016-09-04 10:42:00.0000000,Standard Class,Africa,41545
282,6,4,Late delivery,1,2017-01-04 13:20:00.0000000,Standard Class,Africa,49910
283,6,4,Late delivery,1,2015-10-19 22:53:00.0000000,Standard Class,Europe,19590
284,6,4,Late delivery,1,2016-10-05 04:11:00.0000000,Standard Class,Europe,43650
285,3,4,Advance shipping,0,2015-08-13 21:35:00.0000000,Standard Class,Europe,15202
286,3,4,Advance shipping,0,2015-08-17 16:40:00.0000000,Standard Class,Europe,15462
287,6,4,Late delivery,1,2015-08-16 05:07:00.0000000,Standard Class,Europe,15155
288,2,4,Advance shipping,0,2017-07-31 19:42:00.0000000,Standard Class,Europe,64451
289,4,4,Shipping on time,0,2017-09-09 10:32:00.0000000,Standard Class,Europe,67028
290,2,4,Advance shipping,0,2017-06-30 22:43:00.0000000,Standard Class,Europe,62336
291,5,4,Late delivery,1,2015-06-20 10:27:00.0000000,Standard Class,Europe,11334
292,6,4,Late delivery,1,2017-07-12 23:03:00.0000000,Standard Class,Europe,62885
293,4,4,Shipping on time,0,2017-09-09 00:02:00.0000000,Standard Class,Europe,66998
294,3,4,Advance shipping,0,2016-11-20 02:32:00.0000000,Standard Class,Europe,47002
295,6,4,Late delivery,1,2017-07-21 03:15:00.0000000,Standard Class,Europe,63445
296,2,4,Advance shipping,0,2017-09-15 07:01:00.0000000,Standard Class,Europe,67566
297,5,4,Late delivery,1,2015-10-08 15:33:00.0000000,Standard Class,Europe,18884
298,6,4,Late delivery,1,2015-10-09 01:53:00.0000000,Standard Class,Europe,18845
299,5,4,Late delivery,1,2017-09-07 21:35:00.0000000,Standard Class,Europe,66854
300,6,4,Late delivery,1,2016-11-22 10:04:00.0000000,Standard Class,Europe,46955
301,3,4,Advance shipping,0,2017-03-16 21:18:00.0000000,Standard Class,LATAM,55002
302,6,4,Late delivery,1,2017-06-07 08:13:00.0000000,Standard Class,LATAM,60445
